date,price
2021-03-29,10.35
2021-03-30,10.35
2021-03-31,10.21
2021-04-01,9.36
2021-04-05,10.61
2021-04-06,10.2
2021-04-07,9.85
2021-04-08,9.79
2021-04-09,9.42
2021-04-12,8.62
2021-04-13,8.84
2021-04-14,9.35
2021-04-15,9.9
2021-04-16,9.33
2021-04-19,9.66
2021-04-20,9.28
2021-04-21,9.78
2021-04-22,9.99
2021-04-23,10.16
2021-04-26,11.5
2021-04-27,11.46
2021-04-28,10.85
2021-04-29,10.2
2021-04-30,10.03
2021-05-03,9.71
2021-05-04,9.39
2021-05-05,9.17
2021-05-06,9
2021-05-07,9.51
2021-05-10,9.74
2021-05-11,10.05
2021-05-12,10.32
2021-05-13,12.77
2021-05-14,12.98
2021-05-17,13.95
2021-05-18,14.03
2021-05-19,12.64
2021-05-20,12.55
2021-05-21,12.08
2021-05-24,13.68
2021-05-25,16.41
2021-05-26,19.56
2021-05-27,26.52
2021-05-28,26.12
2021-06-01,32.04
2021-06-02,62.55
2021-06-03,51.34
2021-06-04,47.91
2021-06-07,55
2021-06-08,55.05
2021-06-09,49.34
2021-06-10,42.81
2021-06-11,49.4
2021-06-14,57
2021-06-15,59.04
2021-06-16,55.18
2021-06-17,60.73
2021-06-18,59.26
2021-06-21,55.69
2021-06-22,58.27
2021-06-23,58.3
2021-06-24,56.7
2021-06-25,54.06
2021-06-28,58.11
2021-06-29,56.43
2021-06-30,56.68
2021-07-01,54.22
2021-07-02,51.96
2021-07-06,49.96
2021-07-07,45.07
2021-07-08,47.94
2021-07-09,46.19
2021-07-12,42.61
2021-07-13,39.35
2021-07-14,33.43
2021-07-15,36
2021-07-16,34.96
2021-07-19,34.62
2021-07-20,43.09
2021-07-21,40.78
2021-07-22,37.24
2021-07-23,36.99
2021-07-26,40.29
2021-07-27,38.01
2021-07-28,38.9
2021-07-29,38.13
2021-07-30,37.02
2021-08-02,35.2
2021-08-03,33.59
2021-08-04,29.84
2021-08-05,33.51
2021-08-06,32.7
2021-08-09,33.8
2021-08-10,31.75
2021-08-11,31.55
2021-08-12,33.07
2021-08-13,33.47
2021-08-16,35.69
2021-08-17,37.16
2021-08-18,36.55
2021-08-19,33.82
2021-08-20,34.41
2021-08-23,36.78
2021-08-24,44.26
2021-08-25,43.96
2021-08-26,40.31
2021-08-27,40.84
2021-08-30,43.33
2021-08-31,47.13
2021-09-01,43.69
2021-09-02,44.38
2021-09-03,44.02
2021-09-07,47.83
2021-09-08,47.4
2021-09-09,48.52
2021-09-10,50.16
2021-09-13,51.69
2021-09-14,47.3
2021-09-15,46.84
2021-09-16,46.04
2021-09-17,44.2
2021-09-20,40.29
2021-09-21,38.82
2021-09-22,40.08
2021-09-23,39.98
2021-09-24,40.01
2021-09-27,39.3
2021-09-28,36.99
2021-09-29,35.54
2021-09-30,38.06
2021-10-01,38.46
2021-10-04,36.77
2021-10-05,37.06
2021-10-06,36.83
2021-10-07,38.14
2021-10-08,37.19
2021-10-11,37.25
2021-10-12,36.82
2021-10-13,37.91
2021-10-14,40.07
2021-10-15,40.74
2021-10-18,43.03
2021-10-19,40.8
2021-10-20,40.88
2021-10-21,39.24
2021-10-22,36.6
2021-10-25,36.83
2021-10-26,36.05
2021-10-27,34.76
2021-10-28,35.23
2021-10-29,35.37
2021-11-01,37.07
2021-11-02,38.79
2021-11-03,40.79
2021-11-04,40.05
2021-11-05,41.7
2021-11-08,45.06
2021-11-09,39.93
2021-11-10,38.29
2021-11-11,39.46
2021-11-12,40
2021-11-15,42.68
2021-11-16,42.6
2021-11-17,42.13
2021-11-18,40.41
2021-11-19,40.87
2021-11-22,41.24
2021-11-23,39.16
2021-11-24,38.89
2021-11-26,37.63
2021-11-29,36.84
2021-11-30,33.94
2021-12-01,28.57
2021-12-02,30.28
2021-12-03,29.01
2021-12-06,28.79
2021-12-07,31.04
2021-12-08,32.35
2021-12-09,29.46
2021-12-10,27.44
2021-12-13,23.24
2021-12-14,24.5
2021-12-15,24.66
2021-12-16,24.45
2021-12-17,29.12
2021-12-20,29.7
2021-12-21,30.3
2021-12-22,28.68
2021-12-23,28.52
2021-12-27,28.7
2021-12-28,27.72
2021-12-29,27.95
2021-12-30,28.94
2021-12-31,27.2
2022-01-03,26.52
2022-01-04,25.49
2022-01-05,22.75
2022-01-06,22.46
2022-01-07,22.99
2022-01-10,22.78
2022-01-11,22.79
2022-01-12,22.72
2022-01-13,20.66
2022-01-14,20.57
2022-01-18,18.84
2022-01-19,18.32
2022-01-20,18.07
2022-01-21,17.97
2022-01-24,16.64
2022-01-25,16.02
2022-01-26,15.94
2022-01-27,14.52
2022-01-28,15.06
2022-01-31,16.06
2022-02-01,16.86
2022-02-02,15.42
2022-02-03,14.87
2022-02-04,15.35
2022-02-07,14.91
2022-02-08,16.43
2022-02-09,18.94
2022-02-10,18.59
2022-02-11,18.81
2022-02-14,17.75
2022-02-15,19.48
2022-02-16,19.67
2022-02-17,18.94
2022-02-18,17.9
2022-02-22,16.47
2022-02-23,15.73
2022-02-24,17.68
2022-02-25,17.66
2022-02-28,18.86
2022-03-01,18.32
2022-03-02,18.53
2022-03-03,18.06
2022-03-04,16.57
2022-03-07,15.21
2022-03-08,15.39
2022-03-09,15.71
2022-03-10,15.32
2022-03-11,14.3
2022-03-14,13.56
2022-03-15,14.48
2022-03-16,15.23
2022-03-17,15.19
2022-03-18,15.8
2022-03-21,15.86
2022-03-22,18.26
2022-03-23,20.74
2022-03-24,20.23
2022-03-25,20.24
